"","Views","Title","Department","Details","Amount","Date","Place","ID"
"33","51 views","
                      I Paid Rs. 100 to Transport in Bangalore.
                    ","Transport","Duplicate Registration Certificate","Paid INR 100
                        ","November 07, 2015","Bangalore
                      , Karnataka","82211"
"34","47 views","
                      I Paid Rs. 200 to Passport in Surat.
                    ","Passport","New Passport Application","Paid INR 200
                        ","November 07, 2015","Surat
                      , Gujarat","82209"
"35","36 views","
                      I Paid Rs. 150000 to Others in Bhubaneswar.
                    ","Others","Others","Paid INR 1,50,000
                        ","November 07, 2015","Bhubaneswar
                      , Orissa","82202"
"36","26 views","
                      I Paid Rs. 100 to Municipal Services in Abhayapuri.
                    ","Municipal Services","Birth Certificate","Paid INR 100
                        ","November 07, 2015","Abhayapuri
                      , Assam","82200"
"37","37 views","
                      I Paid Rs. 1000 to Others in Pune.
                    ","Others","Others","Paid INR 1,000
                        ","November 07, 2015","Pune
                      , Maharashtra","82198"
"38","30 views","
                      I Paid Rs. 5000 to Commercial Tax, Sales Tax, VAT in Abohar.
                    ","Commercial Tax, Sales Tax, VAT","C Form","Paid INR 5,000
                        ","November 07, 2015","Abohar
                      , Punjab","82195"
"39","21 views","
                      I Paid Rs. 100 to Municipal Services in Korba.
                    ","Municipal Services","Birth Certificate","Paid INR 100
                        ","November 07, 2015","Korba
                      , Chhattisgarh","82194"
"40","26 views","
                      I Paid Rs. 25 to Municipal Services in Adari.
                    ","Municipal Services","Birth Certificate","Paid INR 25
                        ","November 07, 2015","Adari
                      , Uttar Pradesh","82178"
"41","36 views","
                      I Paid Rs. 1110 to Others in Chennai.
                    ","Others","Others","Paid INR 1,110
                        ","November 07, 2015","Chennai
                      , Tamil Nadu","82176"
"42","21 views","
                      I Paid Rs. 5000 to Food, Civil Supplies and Consumer Affairs in Kurnool.
                    ","Food, Civil Supplies and Consumer Affairs","Issue of Ration Card","Paid INR 5,000
                        ","November 07, 2015","Kurnool
                      , Andhra Pradesh","82175"
